序号,题名,作者,关键词,摘要,DOI,CN,作者单位,刊名,ISSN,页码,核心类型,中图分类号
988,系统论视角下数据信任研究述评:内涵边界、要素结构与实践路径,"夏义堃,田聪.","数据信任, 数据流通利用, 数据价值释放, 数据生态, 系统论","数字社会的有序运转高度依赖数据信任机制的构建,数据信任既是推动数据高效流通与价值释放的前提,也是提升全社会数字参与的基础.本文基于国内外相关研究,从系统论视角出发,围绕内涵边界、要素结构和实践路径三个维度,对数据信任的概念体系、运行逻辑和构建策略进行深入剖析.研究发现,数据信任是数据全生命周期管理过程中主体关系与行为实践的积极心理预期,其核心在于通过构建多主体协同的认知纽带,推动可信数据流通利用生态的形成.数据信任的形成依赖于特定情境下技术应用、制度规范和认知影响的交织互促,需要以技术理性为支撑、制度约束为导向、价值整合为引领,打造安全、透明、公平和可持续的数据生态系统,助力负责任数据治理体系的形成.图5.表2.参考文献97.",10.13530/j.cnki.jlis.2025023,11-2746/G2,南京大学数据管理创新研究中心 江苏苏州215011," 中国图书馆学报,Journal of Library Science in China,2025,51(3)",1001-8867,87-104,"CSTPCD, 北大核心, CSSCI, AMI",G203(信息与传播理论)
989,信息韧性视角下的可持续信息学研究述评:知识基础、研究议题与应用场景,"陈晓宇,杨若熙,邓胜利.","可持续信息学, 图书情报学, 信息韧性","[目的/意义]从信息韧性的角度对可持续信息学(Sustainability Informatics,SI)相关文献进行系统概述,探讨信息技术如何赋能人类数字化实践.[研究设计/方法]对近五年(2018-2023年)与SI研究相关的77篇国外文献进行内容分析,重点梳理其知识基础、研究命题和应用场景.[结论/发现]SI是一门跨学科研究领域,涉及图书情报学、信息系统学、计算机科学等多个学科领域知识.SI研究方法既有传统的定量研究与定性研究,也有重视实践效果反馈与迭代的行动设计研究;核心议题包括保存集体文化记忆、促进社会公正包容、提高资源利用效率、推动可持续发展等;应用场景涵盖文化遗产数字化传承、公共文化服务机构数字化转型、智慧城市数字化治理、全球气候数字化行动等具体案例.[创新/价值]SI研究试图让信息技术的行动实践符合信息韧性社会的发展理念,对实现人、信息、技术与社会文化的可持续协调发展具有重要的作用与潜力.",10.13366/j.dik.2025.05.054,42-1085/G2,武汉大学," 图书情报知识,Document,Informaiton & Knowledge,2025,42(5)",1003-2797,54-65,"CSTPCD, 北大核心, CSSCI, AMI",G203(信息与传播理论)
990,WSR方法论视角下北约认知战战略体系的防御构想,"金冬雪,赵建国,夏一雪.","认知战, 战略防御, WSR方法论, 扎根理论, 北约","[研究目的]聚焦北约认知战战略体系,为有效增强对西方认知战领域的认知深度、防御能力与维护国家安全格局提供理论参考.[研究方法]基于WSR方法论""物理—事理—人理""三维分析框架对北约军事联盟研究报告进行扎根分析,构建北约认知战战略体系的理论模型并对认知战战略体系的防御指标进行提取与分析.[研究结果/结论]北约认知战战略体系的防御指标包括物理维度下的认知战属性、环境发展特征与人脑结构特征,事理维度下的理论指导实践、战略准备、战略主导权争夺、战略工具化与战略的评估预测,人理维度下的决策者组织协调能力、军事力量作战效能与个体认知素养,并从""知物理,洞见认知战客观实际、明事理,理解认知战运作机理、通人理,协同认知战多元主体""层面提出具体研究启示.",10.3969/j.issn.1002-1965.2025.03.008,61-1167/G3,东北财经大学," 情报杂志,Journal of Intelligence,2025,44(3)",1002-1965,55-63,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论)
991,从理性化叙事到非理性出场:短视频超越传统媒介进路的哲学检视,张铁云.,"短视频, 理性, 非理性, 媒介进路, 感性实践","受理性主义文化影响,印刷和电子媒介积聚出先进的技术程式与组织架构,同时也深陷宏大叙事的逻辑进路.随着理性主义缺陷引发的现代性危机日益严重,人们更加注重回到生活世界的本真状态,情感、直觉、体验等非理性力量凸显于文化场域.短视频把抽象的思想观念和社会事实置入感性—视觉化的修辞,超越了基于逻各斯中心主义的传统传播范式;短视频生活化、情感化的属性偏好有赖于互联网的技术装置,根基则在于人们的生命情感和生活样法.考察短视频空间生产中的非理性及其何以可能,不应止步于媒介物质性视域,还需要从哲学领域进行检视.",10.3969/j.issn.1007-8770.2025.09.011,11-5363/G2,西安交通大学新闻与新媒体学院;中国社会科学院大学马克思主义学院," 现代传播,Modern Communication,2025,47(9)",1007-8770,101-109,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论);C91(社会学);I206.7(文学评论和研究)
992,认知战环境下群体认知演化动力学机理研究,"黄凤翔,夏一雪,兰月新.","认知战, 群体认知, 认知操纵, 认知觉醒, 系统动力学","[研究目的]研究认知战环境下群体认知演化的动力学机理,为维护群体认知安全提供理论及实践依据.[研究方法]基于群体认知的定义和形成过程,结合认知战环境,提取了群体认知演化变量,从认知操纵和认知觉醒两个方面分析了群体认知的演化机理.构建了群体认知演化的数学模型,并在此基础上建立了群体认知演化的系统动力学模型,运用系统动力学仿真定量分析各影响因素对群体认知的作用关系,根据仿真结果为维护群体认知安全提出优先防守策略等针对性举措.[研究结果/结论]研究表明,认知觉醒到一定程度可以达到从战争中凝聚智慧的效果;不同的作战模式具有不同的特点,需要采取不同的应对策略;信息量变化系数相比信息量固定增加量而言对群体知识量的影响更显著.",10.3969/j.issn.1002-1965.2025.08.009,61-1167/G3,中国人民警察大学," 情报杂志,Journal of Intelligence,2025,44(8)",1002-1965,"67-77,42","CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论)
993,智能具身传播的伦理风险及其治理探赜,"杨先顺,路珍珍.","智能具身传播, 具身伦理风险, 身心隐私, 具身伦理治理","智能具身传播会引发系列新型伦理风险.从隐私伦理角度看,智能具身传播的隐私问题升级为""身心隐私""层面的挑战;从资本伦理角度看,智能具身传播中曾一度爆红的元宇宙,其本质是资本的""新圈地""运动,存在侵蚀社会正义的风险;从具身伦理角度看,具身沉浸会引发成瘾增强和身体机能物化的问题;从技术伦理角度看,技术以""它者""身份介入,会造成人类主体性虚置和价值感虚脱.上述伦理风险的治理对策包括两个层面:在社会治理层面,需着力通过敏捷治理化解""柯林格里奇困境"",包括构建透明的数据治理机制、实施模拟仿真驱动的动态治理、推进分布式治理与责任共担模式;在个人自治层面,需依托具身伦理实现道德认知和道德情感的双重塑造,推动道德认知从技术至上到技术至善的转变,并培育崇德向善的道德情感.",10.3969/j.issn.1000-7326.2025.12.008,44-1070/C,"广东外语外贸大学南国商学院;暨南大学新闻与传播学院(广东 广州, 中国传媒大学广告与品牌学院(北京"," 学术研究,Academic Research,2025(12)",1000-7326,41-49,"CSTPCD, 北大核心, CSSCI, AMI",B82-05(伦理学理论与方法论);G206.7(信息与传播理论)
994,全球南方视域下中非国际传播自主知识体系建构,李玉洁.,"全球南方, 中非, 国际传播, 自主知识体系","随着中国和非洲为代表的全球南方崛起,其要求提升国际话语权的诉求更加强烈和直接,而中非作为南南合作的样板与新型国际关系的典范,协力探索""去依附""的自主知识生产尤为重要.当前,不均衡不公正的世界新闻格局仍然存在,中非构建命运共同体的迫切现实需要,以及中非关系的国际表达与显著西方中心主义导向的国际传播理论亟须更新,这构成了建构中非国际传播自主知识体系的时代语境.这一自主知识体系的建构,本质上是以自主的国际传播知识范式来阐释好中国、非洲、中非合作乃至全球南方之路,因而重点可从秩序、关系、发展这三大关键维度推进,以立足中非实践经验与解决特定问题为观照,力图通过理念共通、价值共识、事实共享、情感共鸣等路径,建构既反映中非各自诉求又共享共通的国际传播知识体系,为塑造更加公正合理的国际传播新秩序贡献力量.",10.3969/j.issn.1003-0751.2025.08.018,41-1006/C,中国社会科学院西亚非洲研究所;中国社会科学院大学国际政治经济学院(北京 100101)," 中州学刊,Academic Journal of Zhongzhou,2025(8)",1003-0751,156-164,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论)
995,智能技术增进主流媒体可供性的进路,黄娴.,"智能技术, 主流媒体, 系统性变革, 可供性","主流媒体系统性变革既是媒体融合进入深水区的国家顶层设计,也是智能化革命席卷下主流媒体应对传播格局变化的必然选择.当前,智能技术普遍被认为是实现系统性变革的关键助力,从可供性理论出发,以智能技术为基础架构,可从微观层面的内容生产、中观层面的关系协同以及宏观层面的生态位重构等多维度为主流媒体提供增进可供性的进路.但我们也要意识到,当下主流媒体在智能技术使用中还面临认知滞后、制度梗阻与成本制约等一系列现实挑战,而技术可供只有在与价值坚守的辩证平衡中,才能为主流媒体真正找回改革的初心与愿景.",10.3969/j.issn.1003-8671.2025.06.022,32-1312/C,上海大学," 江苏社会科学,Jiangsu Social Sciences,2025(6)",1003-8671,202-211,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论);F204(国民经济管理);TP37(计算技术、计算机技术)
996,大模型"涌现"视域下的智能健康医疗知识管理体系变革与创新发展,"顾东晓,赵旺,王晓玉,等.","大模型, 涌现, 健康医疗, 知识管理, 诊疗决策","[目的/意义]大模型的""涌现""正在重塑健康医疗知识体系和知识管理方式,亟须深入探讨该现象与特征对健康医疗领域知识体系的重大影响、演化路径、管理方法与前沿应用.[研究设计/方法]通过全面分析大模型的""涌现""现象与特征,以此作为大模型""涌现""视域系统梳理健康医疗知识体系的组成要素和演化形态.在此基础上,提出大模型""涌现""视域下的健康医疗知识动态管理框架,并总结健康医疗大模型前沿领域的发展展望.[结论/发现]从大模型的""涌现""视域揭示了健康医疗知识体系三大要素之间以及体系内外部之间的相互作用与动态转化关系,提出了对应的动态健康医疗知识管理框架.[创新/价值]揭示了大模型""涌现""对于健康医疗知识体系与管理方式的潜在影响,提出了大模型""涌现""视域下健康医疗知识管理新模式.",10.13366/j.dik.2025.01.044,42-1085/G2,"中医药大学第一附属医院, 电子科技大学"," 图书情报知识,Document,Informaiton & Knowledge,2025,42(1)",1003-2797,44-56,"CSTPCD, 北大核心, CSSCI, AMI",G203(信息与传播理论);R4(临床医学)
997,大模型驱动的人机审议式网络谣言治理决策框架研究,"何巍,韦昱妃,夏一雪,等.","大语言模型, 人机审议, 网络谣言治理, 决策支持, 人机交互, 公共决策","[研究目的]为应对网络谣言治理决策中普遍存在的决策者认知局限与现有AI系统辅助能力不足的困境,旨在构建一个大模型驱动的人机审议式决策框架,探索将AI从被动的信息分析工具,转变为能够激发深度思考的""思辨伙伴""的可行路径.[研究方法]引入审议民主理念,构建了以""冲突-反思""为内核的决策模型与系统架构.该框架以大语言模型为核心,通过主动揭示治理目标、利益相关方、潜在风险间的内在张力,并扮演""批判性伙伴""角色发起挑战式提问,引导决策者进行深度权衡.为初步验证框架的有效性,在人机审议原型系统上开展了探索性实验.[研究结果/结论]研究结果显示,相较于传统舆情仪表盘,人机审议模式在拓宽决策者认知视野、规避次生风险方面具有显著潜力,有助于促成更周全、更具系统性的治理方案.",10.3969/j.issn.1002-1965.2025.12.024,61-1167/G3,中国人民警察大学," 情报杂志,Journal of Intelligence,2025,44(12)",1002-1965,"201-206,封3,117","CSTPCD, 北大核心, CSSCI, AMI",G202(信息与传播理论)
998,基于生成式AI的合成广告:业态革新、风险隐忧与价值的再审视,张可.,"生成式AI, 合成广告, 人机关系, 广告价值, 技术的社会建构","基于生成式AI的合成广告凭借其自动生成、个性化定制内容和精准抵达用户,重塑了广告的生产逻辑,增进了广告的观看体验,转传统广告消费的""被动代偿""为""积极代偿"".但合成广告的实践也诞生了新的风险隐忧:技术本身的成熟度和稳定度以及生成内容的真实性考量、法律方面知识产权争议和深度伪造欺诈、人机伦理关系的模糊都成了生成式AI和合成广告发展中所要面对和解决的问题.本文基于技术的社会建构(SCOT)理论,深入探讨合成广告如何在社会技术网络中被塑造、接受与规制,并分析其对广告行业传播模式和价值体系的影响.在人机关系迭代的背景下,合成广告促进了广告价值的重构,需更加强调人文价值在技术革命中的重要性,以保证技术始终为人服务.",10.19563/j.cnki.sdzs.2025.05.016,32-1033/C,苏州大学," 苏州大学学报（社会科学版）,Journal of Soochow University（Philosopy and social science Edition）,2025,46(5)",1001-4403,172-181,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论)
999,2024年度中国信息资源管理学界十大学术热点,,,"热点一:通用人工智能时代的信息资源管理学
入选理由 通用人工智能(Artificial General Intelli-gence,AGI)是一个旨在实现人工智能广泛应用和通用性的领域.2024年,研究者围绕通用人工智能对信息资源管理基础理论建设、数字人文、图书馆服务、信息管理与数据科学、用户需求与行为等的影响,展开了大量研究.",,11-1448/G3,," 情报资料工作,Information and Documentation Services,2025,46(1)",1002-0314,5-12,"CSTPCD, 北大核心, CSSCI, AMI",G203(信息与传播理论);C93(管理学);G35(科学、科学研究)
1000,精准国际传播的智能转型:新范式、新挑战与新治理,"徐明华,李虹.","人工智能, 精准国际传播, 自组织, 认知外包","相较于传统信息技术,人工智能技术最本质的变革在于,它实现了人类认知能力的系统性外化与延伸,突破了传统信息技术只能基于预设逻辑与规则进行信息处理的瓶颈.这一技术变革使精准国际传播系统演变为具有自组织能力的有机体,人类主体在传播链条上呈现""结构性退场""与""价值性在场"".基于这一范式变迁,精准国际传播系统涌现出新的问题域,而其中最核心的是如何在利用技术的同时从根本上规避智能自组织体的失控风险.对此,本文提出""价值校准—认知共生""的治理思路,旨在通过技术架构与价值理念、认知逻辑的深度耦合,实现风险管理前置化与智能赋能精准化,以期在技术变革的历史契机中扭转我国国际话语权困境,推动全球传播格局的新演变.",10.19563/j.cnki.sdzs.2025.05.015,32-1033/C,华中科技大学," 苏州大学学报（社会科学版）,Journal of Soochow University（Philosopy and social science Edition）,2025,46(5)",1001-4403,161-171,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论)
1001,数智经济:人工智能驱动的生产力跃迁与治理模式创新,"焦方义,张东超.",,"当前,人工智能技术正以前所未有的广度与深度渗透至经济发展和社会生活的各个领域,深刻改变着人类生产和生活方式,人类社会进入人工智能大模型时代,推动全球经济形态由""数字""迈向""智能""的新阶段.数智经济不仅重塑生产要素配置方式、生产方式、产业组织形态与价值创造机制,更在宏观治理、市场运行与社会结构等多个层面引发系统性变革.在这一背景下,中国作为人工智能应用与治理机制探索的重要实践者,正在形成兼具科技创新与制度创新的发展范式,为全球数智经济治理、缩小数字鸿沟提供重要借鉴.本期专刊文章聚焦人工智能与数字经济深度融合过程中的前沿议题与重大挑战,从产业创新、企业转型、金融赋能、就业结构、风险治理等多维视角出发,力图构建一个理解数智经济理论体系与实践路径的学术分析框架.进一步激发学界、商界与政界对数智经济时代经济社会发展逻辑与治理体系变革的深度思考,为中国数智经济的高质量发展提供理论支撑与政策启示.",10.3969/j.issn.1004-910X.2025.10.001,22-1129/T,黑龙江大学," 工业技术经济,Industrial Technology & Economy,2025,44(10)",1004-910X,1-2,"CSTPCD, 北大核心, CSSCI, AMI",G206.3(信息与传播理论);F014.1(经济学基本理论);TP18(自动化基础理论)
1002,共识、共情与共享:Z世代红色文化认同的提升路径,"聂智,施婉仪.","红色文化, 文化认同, Z世代, 红色资源","红色文化认同是赓续红色血脉、传承红色基因的内在要求,也是凝聚国家和民族认同的重要精神纽带.Z世代拥有""数字土著""""文本盗猎者""""新时代后浪""的多重身份标签,是最为活跃的社会群体,在社会参与方面不断释放着活力与效能,蕴藏着提升红色文化认同、推进红色文化传承的潜力.然而,当前历史虚无主义、泛娱乐主义等思潮渗透网络空间,亚文化圈层日益加深区隔,加之集体记忆本身具有代际递减的规律,红色文化在Z世代群体之间形成共识、破圈传播和凝聚情感的难度增大.因而,遵循""形成共识—促进共情—达成共享""的文化认同生成逻辑,可以从创新红色文化叙事体系、建构具象化传播和夯实红色资源共享成果这三个层面,提升Z世代对红色文化的自觉认同.",10.3969/j.issn.1001-5981.2025.04.025,43-1550/C,湖南工商大学," 湘潭大学学报（哲学社会科学版）,Journal of Xiangtan University (Philosophy and Social Sciences),2025,49(4)",2096-6431,177-181,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论)
1003,面向韧性社会的信息韧性理论内涵与实践路径,"邓胜利,袁梦.","信息韧性, 韧性社会, 韧性社会治理","[目的/意义]推动面向韧性社会的信息韧性发展能够助力韧性社会有效应对风险以及信息失调问题,加速韧性社会的构建进程,同时为社会提供韧性认知与支持开拓崭新路径.[研究设计/方法]围绕韧性社会发展的核心需求,立足应对危机风险,深度剖析韧性社会与信息韧性二者之间的内在联系,对信息韧性概念进行界定并梳理其构成要素.[结论/发现]信息韧性涵盖信息制度韧性、信息技术韧性和信息治理韧性三重内容;从理论逻辑角度揭示信息韧性如何驱动韧性社会发展,在风险防控的承受、抵御、转化三阶段形成递进式作用链条.[创新/价值]就韧性社会现面临的风险状况提出三大路径:信息政策动态调整、智能技术赋能、虚假信息纠查与纠偏,以期解决我国韧性社会构建的现实难题与痛点,全面提升我国社会的信息韧性水平.",10.13366/j.dik.2025.05.044,42-1085/G2,武汉大学," 图书情报知识,Document,Informaiton & Knowledge,2025,42(5)",1003-2797,"44-53,65","CSTPCD, 北大核心, CSSCI, AMI",G203(信息与传播理论);C939(应用管理学)
1004,基于信息生态理论的突发事件网络舆情多平台演化路径及实证研究,"黄微,刘逸伦,周东阳.","突发事件, 网络舆情, 舆情演化, 多平台演化路径, 信息生态理论, 社会网络分析, 萝卜快跑","[研究目的]揭示突发事件网络舆情在多平台环境下的演化规律,拓展信息生态理论的应用深度,为政府与企业理解舆情动态、制定精准应对策略,推动社会治理现代化提供科学依据.[研究方法]基于信息生态理论构建多平台舆情演化路径分析框架,以""萝卜快跑""舆情事件为例,结合BERTopic主题建模、社会网络分析(SNA)和SnowNLP情感挖掘,解析微博与抖音平台的舆情文本、传播网络及情感倾向,最后采用案例分析法解析舆情事件的多阶段演化特征与路径.[研究结果/结论]研究结果揭示了突发事件的网络舆情在多维生态要素耦合作用下呈现跨平台演化分异:微博平台以技术争议为核心形成强中心化传播结构,情感极化显著;抖音平台因视觉化叙事驱动碎片化主题扩散,情感表达相对中性.研究验证了信息流主题异化、用户群落行为惯习与环境规制技术的共生关系是舆情风险生成的核心机制,据此提出的跨平台协同治理策略为技术应用类公共事件的舆情韧性建设提供了理论与实践范式.",10.3969/j.issn.1002-1965.2025.09.019,61-1167/G3,吉林大学商学与管理学院 长春 130012," 情报杂志,Journal of Intelligence,2025,44(9)",1002-1965,164-175,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论)
1005,从审美共享到价值共创:数字媒介场域青年的国潮消费与认同表达,刘桂茹.,"国潮, 青年, 数字消费, 文化认同","随着移动互联网经济的发展,以Z世代青年为消费主体的国潮成为近年来我国文化消费热点.国潮与青年双向奔赴加速了国潮的火热,也凸显了数字媒介在青年国潮消费中的重要作用.通过网站、移动APP等数字平台,国潮青年的文化消费形成了虚拟共在、审美共享的数字社交新样态.国潮不仅展现了青年个体的审美消费特性,也在青年的参与式生产和价值共创的实践中,承载着青年对数字自我身份、圈层集体归属、国家文化情怀的认同表达.从文化审美到价值追求彰显了数字媒介场域青年国潮消费的增长逻辑,也是其未来持续发展的内在动因.",10.14180/j.cnki.1004-0544.2025.05.009,42-1286/C,福建社会科学院," 理论月刊,Theory Monthly,2025(5)",1004-0544,91-99,"CSTPCD, 北大核心, CSSCI, AMI",G206.3(信息与传播理论);G913.3(文化、科学、教育、体育)
1006,智能传播时代的人机依恋:虚拟偶像青年用户的情感依恋构成研究,斗维红.,"虚拟偶像, 情感依恋, 人机关系, 智能传播, 扎根理论","在互联网与人工智能技术的快速变革影响下,青少年群体不仅与虚拟偶像发生了多方面互动,还对其产生了情感依恋.就作为情感联结的依恋而言,不同用户面对不同对象时的依恋构成存在差异.本文通过对19位关注虚拟偶像A-Soul的青年用户的访谈收集一手资料,并基于经典质性研究方法扎根理论探究青年用户对虚拟偶像的情感依恋构成.经过三级编码发现,青年用户对虚拟偶像的情感依恋由虚拟偶像认同、亲密关系构建、发展提升支持、用户自我联结四个维度构成.本文认为,青年用户与虚拟偶像的交往正在产生超人际互动效果,即双方通过网络虚拟交往能够实现比肩甚至超越面对面互动的效果.",10.3969/j.issn.1002-9931.2025.01.010,11-2579/D,兰州大学," 中国青年研究,China Youth Study,2025(1)",1002-9931,"86-93,85","CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论);D923.41(中国法律);J954(各种电影、电视：按内容与样式分)
1007,国外敏感非密信息管理制度的类型化研究,"佘杰新,周芃锟.","敏感非密信息, 保密管理, 信息管理, 政务信息, 国家秘密, 信息利用, 最小化原则","[研究目的]敏感非密信息是政务工作实践中产生较强安全价值和利用价值的非国家秘密信息,其在管理过程中容易出现松紧把握不当的两难困境.对国外敏感非密信息管理制度进行考察总结与归纳分析,为构建具有中国特色的敏感非密信息管理制度提供有益参考.[研究方法]基于类型学的研究框架,通过文献分析法和比较研究法,选取世界主要国家的敏感非密信息管理制度进行全面考察,总结归纳其模式构建和基本特征.[研究结果/结论]世界主要国家在敏感非密信息管理制度上主要采取了三种类型的构建模式,分别是传统型管理模式、创新型管理模式、融合型管理模式;其特征是普遍探索了""密""与""非密""间第三条道路,在保证信息安全的前提下注重信息的合理利用,多措并举贯彻落实最小化原则,以及明确信息泄露的情形及事后处置流程.我国应在现有保密管理体系基础上进一步探索构建适合于我国实际情况的敏感非密信息管理制度.",10.3969/j.issn.1002-1965.2025.07.012,61-1167/G3,西南政法大学," 情报杂志,Journal of Intelligence,2025,44(7)",1002-1965,85-94,"CSTPCD, 北大核心, CSSCI, AMI",G203(信息与传播理论);D912.1(法学各部门)
1008,AIGC环境下群体认知入侵机理与防范策略,"刘佳豪,夏一雪,沈宇航,等.","认知域, 认知安全, AIGC, 群体认知, 认知入侵, 入侵机理","[研究目的]研究AIGC环境下群体认知入侵机理,为相关研究提供理论参考,同时对于维护国家认知域安全、社会稳定以及推动认知域安全技术的发展具有实际价值.[研究方法]基于多学科视角,结合认知战特征,系统阐释认知入侵的概念框架,并通过实例验证AIGC环境下群体认知入侵现象.以认知入侵主体信息释放量与目标群体信息感知量为核心变量,构建群体认知入侵动态模型,采用数值仿真方法量化分析入侵过程,并设计系统性防范策略.[研究结果/结论]研究表明,认知入侵过程呈现四个阶段性特征,且AIGC环境下群体信息与知识演变遵循""吃一堑,长一智""的规律,据此提出基于模型驱动的防范体系.",10.3969/j.issn.1002-1965.2025.09.018,61-1167/G3,中国人民警察大学网络舆情治理研究中心 廊坊 065000," 情报杂志,Journal of Intelligence,2025,44(9)",1002-1965,"154-163,111","CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论);B842.1(心理过程与心理状态)
1009,我国可信数据空间的建设原则与发展路径,"赵一鸣,黄丹迪.","数据空间, 数据要素, 数据流通利用, 数据基础设施, 建设原则, 发展路径","[目的/意义]可信数据空间为数据流通利用提供了关键支撑.本研究旨在探究符合中国国情的可信数据空间建设原则与发展路径,为构建全国一体化数据要素市场提供发展动能.[方法/过程]本文通过文献回顾并列举实际案例,梳理数据空间研究现状与实践进展,从多维度分析利用可信数据空间解决数据流通利用困境的方法手段,基于此,系统性体系化地探讨可信数据空间的建设原则和发展路径.[结果/结论]本文提出包含平衡、问责制、安全、互操作、可控在内的可信数据空间建设BASIC原则,从战略布局、技术底座、标准规范、创新生态、运营监管、国际交往等方面探索我国可信数据空间发展路径.",10.3969/j.issn.1008-0821.2025.06.011,22-1182/G3,武汉大学," 现代情报,Journal of Modern Information,2025,45(6)",1008-0821,126-139,"CSTPCD, 北大核心, CSSCI, AMI",G203(信息与传播理论);G259.2(图书馆事业、信息事业)
1010,移动数字社交平台的媒介化交往悖论,曾庆江.,"移动数字社交平台, 媒介化交往, 媒介逻辑, 悖论","人类世界从""媒介化""走向""深度媒介化""乃至""全面媒介化""的过程,使得人们的社会生活在依赖媒介的同时,也被媒介悄然改变,并渗透着媒介逻辑,立足于移动数字社交平台的媒介化交往就是其中的重要体现.事物的发展总是存在着两面性.在移动数字社交平台用户的媒介化交往中,存在着诸多悖论,这是我们无法忽视的.人类一方面享受万物互联带来的连接便利,另一方面由于深度连接产生的社交倦怠而渴望""断连"",因此不得不在""被看见""和""被遗忘""之间反复纠结.媒介化交往实践中,大众在众声喧哗之后陷入""群体性孤独"",因此有必要思考媒介化交往和传统交往方式之间的关系,究竟是替代还是互补.在未来,面对无法破解的媒介化交往中的悖论,人类需要发挥主体性作用,成为技术的尺度,从而构建一个良性有序的交往世界.",10.19563/j.cnki.sdzs.2025.01.015,32-1033/C,苏州大学," 苏州大学学报（社会科学版）,Journal of Soochow University（Philosopy and social science Edition）,2025,46(1)",1001-4403,152-162,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论)
1011,DeepSeek引发的全球AI版权困局:未解之惑、由来之辨与叙事之争,胡泳.,"版权, 版权法, 合理引用, 生成式人工智能, DeepSeek","以DeepSeek为代表的大型语言模型的快速发展引发了一场前所未有的版权争议,围绕AI训练数据、生成内容及其法律归属的讨论愈演愈烈.本文探讨AI与版权的核心法律问题.首先,以《纽约时报》诉OpenAI和微软案件为例,分析AI技术与传统版权体系的碰撞,厘清合理使用原则在生成式AI领域的适用性,并剖析推理模型可能带来的新法律挑战.其次,回溯版权制度的初衷,指出其核心目的在于促进公众利益,而非仅为创作者提供经济激励,从而重新审视版权保护的正当性.再次,梳理版权在竞争政策和产业政策中的作用,指出主要国家可能借助版权规则调整市场竞争格局.最后,对AI版权的未来发展趋势做出预测,认为地缘政治可能超越版权保护成为影响AI版权规则的决定性因素,全球关于AI训练数据的法律框架或将被重新定义,而""原创性、创造力和个性""的传统版权叙事将走向式微.AI版权争议不仅关乎法律和技术,更是一场叙事之争.",10.19563/j.cnki.sdzs.2025.03.005,32-1033/C,北京大学," 苏州大学学报（社会科学版）,Journal of Soochow University（Philosopy and social science Edition）,2025,46(3)",1001-4403,39-52,"CSTPCD, 北大核心, CSSCI, AMI",TP18(自动化基础理论);G206(信息与传播理论)
1012,数字时代春节仪式的媒介化实践及其文化认同研究,"萧放,所揽月.","数字时代, 春节仪式, 传统节日, 媒介化实践, 认同建构","在媒介技术迅速迭代的数字时代,传统节日与数字化生活方式已深度嵌合,春节仪式也出现了种种媒介化的实践.根据媒介对春节仪式的介入程度,可以将这些媒介化实践大致划分为数字化再现、技术性重构、媒介再生产三种类型,它们既表现出数字媒介的特性,也具有与传统春节仪式的相似性特征.在以数字媒介为载体的仪式共享和交流中,媒介化的春节仪式可以在强化集体记忆、构建文化认同等方面发挥积极作用.但我们也应深刻意识到媒介技术的利用和实践始终应该以人文价值为坐标,进而在技术创新与文化传承之间寻求动态平衡.",10.3969/j.issn.1004-3926.2025.09.012,51-1671/C,北京师范大学," 西南民族大学学报（人文社会科学版）,Journal of Southwest University for Nationalities,2025,46(9)",1004-3926,134-142,"CSTPCD, 北大核心, CSSCI, AMI",K892.11(中国风俗习惯);G206(信息与传播理论)
1013,多方法融合的社交平台辟谣效果影响因素研究,"熊思奇,夏志杰.","社交平台, 网络谣言, 辟谣微博, 归因分析, 情感倾向, 热门话题, 可解释机器学习, fsQCA","[研究目的]为提高社交平台辟谣效果,探究平台辟谣效果的核心影响因素及组态路径,以期为平台提供更为有效的辟谣策略.[研究方法]以""新浪微博""平台为研究对象,基于启发-系统模型构建影响社交平台辟谣效果的12个前因条件变量;采用5种机器学习模型进行对比实验,结合SHAP可解释框架分析并提取核心变量;运用fsQCA对核心变量进行归因,得出提高辟谣效果的多重组态路径.[研究结果/结论]结果发现,来源影响力、辟谣微博的情感倾向以及是否是热门话题是社交平台有效辟谣的核心条件变量,并存在5条高效的辟谣路径及其归因模式,为社交平台辟谣领域提供了理论支持和实践基础.",10.3969/j.issn.1002-1965.2025.01.020,61-1167/G3,上海工程技术大学," 情报杂志,Journal of Intelligence,2025,44(1)",1002-1965,155-163,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论)
